CF_Scaffold_ID,CF_Scaffold_SMILES,NATx_SMILES,NATx_ID,Substructure_SMILES,Chemotype
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2ccccn2)C1,NAT18-348544,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2cccnc2)C1,NAT18-348545,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(C2CCOCC2)C1,NAT18-348548,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(C)N1C[C@H](O)C[C@H]1c1nc(-c2ccc(C(F)(F)F)cc2)no1,NAT18-348555,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(=O)Nc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)cc1,NAT18-348556,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2cc3ccccc3o2)C1,NAT18-348559,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2ncc[nH]2)C1,NAT18-348561,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2cccc(OC(F)(F)F)c2)C1,NAT18-348563,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2ccc(-c3ccccn3)cc2)C1,NAT18-348564,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CS(=O)(=O)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)cc1,NAT18-348566,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
